meaning,name
"- noun
+ trạng thái cân bằng
",equilibrium
"- verb
+ trang bị
",equip
"- noun
+ điểm phân
",equinox
"- noun
+ xích đạo
",equator
"- adjective
+ thuộc xích đạo
",equatorial
"- adjective
+ thuộc sự cưỡi ngựa
",equestrian
"- noun
",engagement
"- noun
+ hành động làm cho bằng nhau
+ phương trình
",equation
"- verb
+ thuê một người
+ đặt trước
+ chiếm hoặc thu hút (ý nghĩ, thời gian… của ai
+ giao chiến
+ làm cho ăn khớp với nhau
",engage
"- adjective
+ quyến rũ
",engaging
"- noun
+ máy, động cơ
+ đầu máy xe lửa
",engine
"- adjective
+ đã đính hôn
+ bận rộn
+ bận
",engaged
"- noun
+ người lái đầu tàu hoả
",engine driver
"- noun
+ kỹ sư
+ kỹ sư xây dựng
+ thợ máy
+ người lái tàu hoả
- verb
+ sắp đặt
",engineer
"- noun
",enforcement
"- noun
+ sự thụt
",enema
"- noun
+ kẻ thù
+ quân địch
",enemy
"- adjective
+ tiết kiệm năng lượng
",energy-efficient
"- adverb
",energetically
"- verb
+ thi hành
",enforce
"- adjective
+ đầy nghị lực
+ mạnh mẽ
",energetic
"- noun
+ năng lực
+ năng lượng
",energy
"- verb
+ cam chịu
+ tồn tại
",endure
"- noun
+ khả năng chịu đựng
",endurance
"- adjective
+ có thể chịu đựng được
",endurable
"- verb
+ ban tặng
",endow
"- noun
",endowment
"- noun
",endorsement
"- verb
+ ký hậu
+ ghi vào bằng lái xe
+ tán thành
",endorse
"- noun
+ thế chấp trợ cấp
",endowment mortgage
"- adjective
+ do nội sinh
+ nội sinh
",endogenous
"- adjective
+ vô tận
+ liên tục
",endless
"- verb
+ nỗ lực
- noun
+ sự nỗ lực
",endeavour
"- noun
+ kết cuộc
",ending
"- adjective
+ bệnh địa phương
",endemic
"- noun
+ sự quá mức
+ số lượng vượt quá
+ số dôi
- adjective
+ thêm
",excess
"- adverb
+ một cách khác thường
",exceptionally
"- adjective
+ khác thường
",exceptional
"- noun
+ ngoại lệ
+ biệt lệ
",exception
"- noun
+ đoạn trích
",excerpt
"- preposition
+ trừ
",excepting
"- adjective
",excepted
"- adjective
+ xuất sắc
",excellent
"- adverb
",excellently
"- preposition
+ ngoại trừ
- verb
+ trừ ra
",except
"- noun
+ Ngài; phu nhân
",Excellency
"- noun
+ sở trường
",excellence
"- noun
+ sự làm chết không đau
",euthanasia
"- adjective
+ châu Âu
- noun
+ người châu Âu
",European
"- verb
+ di tản
+ sơ tán
",evacuate
"- noun
+ đồng euro
",euro
"- adjective
",euphoric
"- adjective
",euphemistic
"- noun
+ trạng thái phởn phơ
",euphoria
"- adjective
",etymological
"- noun
+ từ nguyên học
+ từ nguyên
",etymology
"- noun
+ cây khuynh diệp
",eucalyptus
"- noun
+ (bài tán dương
",eulogy
"- noun
+ nghi thức
",etiquette
"- noun
",ethnologist
"- noun
+ uyển ngữ
",euphemism
"- noun
+ dân tộc học
",ethnology
"- noun
+ sắc tộc
",ethnicity
"- adjective
+ dân tộc
",ethnic
"- noun
+ lời âu yếm
",endearment
"- adjective
",ethnological
"- noun singular
+ đạo đức học
- noun plural
+ đạo lý
",ethics
"- adverb
",ethically
"- noun
+ nạn diệt chủng
",ethnic cleansing
"- adjective
+ thuộc đạo đức
+ đúng luân thường đạo lý
",ethical
"- adjective
+ khả ái
",endearing
"- verb
+ gây nguy hiểm
",endanger
"- verb
+ làm cho được quý mến
",endear
"- adjective
+ đang tuyệt chủng
",endangered
"- verb
+ đánh đồng
",equate
"- phrasal verb
+ kết cục
+ cuối cùng
",end up
"- noun
+ cuối cùng
+ sự kết thúc
+ cái chết
+ mục đích
+ đầu mẩu
- verb
+ kết thúc
",end
"- noun
",encroachment
"- adjective
",encyclopedic
"- adverb
",equally
"- noun
+ bách khoa toàn thư
",encyclopedia
"- noun
+ bằng chứng
+ dấu hiệu
",evidence
"- verb
+ làm cho bằng nhau
",equalize
"- noun
",eviction
"- verb
+ gây bực tức
",exasperate
"- adverb
+ khắp nơi
",everywhere
"- noun
+ mẫu
+ ví dụ
+ gương
+ sự làm gương
",example
"- noun
",exasperation
"- noun
+ giám khảo
",examiner
"- verb
+ khảo sát
+ khám
+ thẩm vấn
+ kiểm tra
+ thẩm vấn
",examine
"- verb
+ đuổi (ai) khỏi nhà
",evict
"- noun
+ sự khảo sát
+ kỳ thi
+ sự thẩm vấn
",examination
"- noun
+ sự cường điệu
+ sự mô tả cường điệu
",exaggeration
"- adjective
+ cao quý
",exalted
"- adjective
+ chính xác
+ chính xác
- verb
+ ép buộc
",exact
"- noun
",exactness
"- adverb
+ đúng là
+ một cách chính xác
+ đúng như vậy
",exactly
"- adjective
+ đòi hỏi những yêu cầu cao
",exacting
"- verb
+ cường điệu
+ phóng đại
",exaggerate
"- noun
",exacerbation
"- verb
+ làm trầm trọng thêm
",exacerbate
"- noun
+ sự tiến triển
+ sự tiến hoá
",evolution
"- verb
+ gây ra
+ gợi lên
",evoke
"- adjective
+ gợi lên
",evocative
"- noun
+ cừu cái
",ewe
"- noun
",evocation
"- verb
+ tiến triển; tiến hoá
",evolve
"- adjective
",evolutionary
"- noun
+ người chồng, vợ trước
- prefix
+ tiếp đầu ngữ chỉ “trước”, “nguyên”
",ex
"- noun
",evilness
"- adjective
+ xấu xa
- noun
+ điều xấu
+ tệ nạn
- prefix
",evil
"- adverb
",evilly
"- noun
+ kẻ bất lương
",evil-doer
"- adverb
+ rõ ràng là
+ rõ ràng
",evidently
"- noun
+ ête
",ether
"- adjective
+ rõ ràng
",evident
"- noun
+ tính vĩnh viễn
+ vô tận
+ thiên cổ
",eternity
"- adverb
",eternally
"- noun
+ cửa sông
",estuary
"- adjective
+ vĩnh viễn
+ không ngừng
",eternal
"- verb
+ khắc axit
",etch
"- noun
+ hóc môn estrogen
",estrogen
"- noun
+ sự đánh giá
",estimation
"- verb
+ quý trọng
- noun
+ sự quý trọng
",esteem
"- noun
+ xe có ngăn riêng để hành lý
",estate car
"- noun
+ người kinh doanh nhà đất
",estate agent
"- adjective
+ đã thành lập
",established
"- noun
+ sự thành lập
+ tổ chức
+ nhà
",establishment
"- adverb
+ về cơ bản
",essentially
"- adjective
+ thiết yếu
- noun
+ yếu tố cần thiết
",essential
"- noun
+ điền trang
+ khu xây dựng
+ tài sản
",estate
"- verb
+ củng cố
+ thành lập
+ chứng minh
",establish
"- noun
+ bài tiểu luận
",essay
"- noun
+ nơi dạo mát
",esplanade
"- noun
+ cà phê espresso
+ một ly cà phê espresso
",espresso
"- adverb
+ đặc biệt là
",especially
"- adjective
+ đặc biệt
",especial
"- noun
+ thực quản
",esophagus
"- written abbreviation
+ đặc biệt
",esp
"- adjective
",encouraging
"- adverb
",encouragingly
"- noun
+ gián điệp
",espionage
"- phrasal verb
",encroach
"- noun
",encouragement
"- verb
+ khuyến khích
+ thúc giục
",encourage
"- noun
+ nữa đi
",encore
"- verb
+ bắt gặp
+ đương đầu
- noun
+ cuộc chạm trán
+ cuộc đụng độ
",encounter
"- noun
+ việc rào đất đai lại
+ mảnh đất đã được rào lại
+ vật gửi kèm
",enclosure
"- verb
+ mã hoá
",encode
"- verb
+ gửi kèm
+ rào
",enclose
"- verb
+ bao vây
",encircle
"- noun
+ sự say mê
+ sự mê hoặc
+ sự thích thú
",enchantment
"- noun
+ người mê hoặc
",enchanter
"- adjective
",enchanted
"- noun
",enactment
"- noun
+ doanh trại
",encampment
"- verb
+ cho vào thùng, vào túi
",encase
"- noun
+ men
+ men răng
+ bức vẽ trên men
- verb
+ tráng men
",enamel
"- adjective
",enamoured
"- verb
+ ban hành
+ đóng (kịch)
",enact
"- adjective
+ có phòng tắm riêng
+ kèm phòng tắm
",en suite
"- verb
+ làm say mê
+ bỏ bùa mê
",enchant
"- verb
+ cho phép
",enable
"- noun
+ sơn nhũ tương
",emulsion paint
"- adverb
+ trên đường
",en route
"- noun
+ nhũ tương
",emulsion
"- noun
",emulation
"- noun
+ đà điểu Úc
",emu
"- verb
+ tranh đua
",emulate
"- adjective
+ đầu óc rỗng tuếch
",empty-headed
"- adjective
+ tay không
",empty-handed
"- noun
+ người sử dụng lao động
",employer
"- noun
+ người làm công
",employee
"- noun
",emptiness
"- noun
+ việc làm
",employment
"- adjective
+ rỗng; trống không
+ bỏ không
+ hoàn toàn không có
+ hão huyền
- verb
+ làm cho trống rỗng
+ trút ra
- noun
+ vỏ rỗng
",empty
"- noun
+ chợ
+ cửa hàng lớn
",emporium
"- verb
+ tuyển dụng
+ chiếm thời gian
+ tận dụng
",employ
"- adjective
+ có việc làm
",employed
"- adverb
",empirically
"- noun
+ văn bia
",epitaph
"- noun
+ thư từ
",epistle
"- noun
+ đoạn; hồi
+ tập phim, truyện
",episode
"- noun
+ sự bình đẳng
",equality
"- noun
+ kỷ nguyên
",epoch
"- adjective
+ bằng nhau
- noun
+ người hoặc vật ngang bằng nhau
- verb
+ sánh với
",equal
"- noun
+ phần kết
",epilogue
"- noun
+ tâm chấn
+ tâm điểm sự kiện
",epicentre
"- noun
+ thiên anh hùng ca
+ thiên sử thi
",epic
"- adjective
+ phù du
",ephemeral
"- noun
+ bệnh dịch
",epidemic
"- noun
+ gây tê ngoài màng cứng
",epidural
"- noun
+ người bị động kinh
",epileptic
"- noun
+ chứng động kinh
",epilepsy
"- noun
+ biểu bì
",epidermis
"- noun
+ phái viên
",envoy
"- verb
+ vạch ra
",envisage
"- noun
+ men
",enzyme
"- noun
+ sự thèm muốn
- verb
+ thèm muốn
+ cảm thấy thèm muốn
",envy
"- adjective
+ thân thiện với môi trường
",environmentally friendly
"- adjective
",environmental
"- noun
+ nhà môi trường học
",environmentalist
"- noun
+ môi trường
",environment
"- adjective
+ gây sự thèm muốn
",enviable
"- adjective
+ thèm muốn
",envious
"- noun
+ phong bì
",envelope
"- verb
+ phát biểu
",enunciate
"- noun
",enumeration
"- noun
",enunciation
"- verb
+ liệt kê
",enumerate
"- adjective
+ cấp thấp
+ vị trí khởi đầu
",entry-level
"- verb
+ bện
",entwine
"- verb
+ bao bọc
",envelop
"- verb
+ giao phó
",entrust
"- noun
+ sự yêu cầu khẩn khoản
",entreaty
"- verb
+ khẩn khoản
",entreat
"- noun
+ món đầu bữa
",entrée
"- noun
+ người đăng ký dự thi
",entrant
"- noun
+ sự đi vào
+ sự đi vào
+ cửa vào
+ đăng ký tên
+ sổ sách
",entry
"- noun
+ nhà doanh nghiệp
",entrepreneur
"- noun
+ trung tâm xuất nhập khẩu
",entrepot
"- noun plural
+ lòng
",entrails
"- noun
+ đoàn tuỳ tùng
",entourage
"- pronoun
+ mọi người
",everybody
"- noun
+ cổng vào, lối vào
+ sự đi vào
+ quyền gia nhập
- verb
+ làm say mê
",entrance
"- noun
",entitlement
"- pronoun
+ mọi thứ
",everything
"- adjective
+ hàng ngày
+ quen thuộc
",everyday
"- adverb
+ mãi mãi
",evermore
"- adverb
",everlastingly
"- adjective
+ mỗi
+ mỗi
+ mọi
+ mỗi một
",every
"- adverb
+ vào bất cứ lúc nào
+ luôn luôn; liên tục
+ (để nhấn mạnh
- prefix
+ luôn luôn; liên tục
",ever
"- adjective
+ cây thường xanh
- noun
+ cây thường xanh
",evergreen
"- adjective
+ vĩnh viễn
",everlasting
"- noun
+ tình huống có thể xảy ra
",eventuality
"- adverb
+ cuối cùng là
",eventually
"- noun
",evenness
"- adjective
+ cuối cùng là
",eventual
"- noun
+ sự kiện
+ môn thi đấu
",event
"- adjective
+ có nhiều sự kiện quan trọng
",eventful
"- adverb
",evenly
"- noun
+ lớp học buổi tối
",evening class
"- noun
+ áo dạ hội
+ áo dài nghi lễ
",evening dress
"- noun
+ buổi tối
+ lúc xế chiều
",evening
"- phrasal verb
+ làm cho cái gì đều hoặc bằng nhau
",even up
"- phrasal verb
+ trở nên ngang bằng hoặc đều đều
+ trở nên bằng phẳng
+ trở nên bằng nhau
",even out
"- noun
",evasiveness
"- adjective
+ ngang nhau
+ bằng phẳng
+ đều
+ chẵn
+ bằng nhau
+ điềm đạm
- verb
+ san bằng
+ làm phẳng
- adverb
+ thậm chí
+ mà còn
",even
"- noun
+ ngày hoặc đêm trước lễ hội
+ thời gian liền trước một sự kiện quan trọng
+ buổi tối
",eve
"- adverb
",evasively
"- adjective
+ trốn tránh
+ lảng tránh
",evasive
"- verb
+ làm bay hơi
",evaporate
"- adjective
+ sữa đặc không đường
",evaporated
"- noun
",evasion
"- noun
",evaporation
"- adjective
+ thuộc về Kinh Phúc âm
",evangelical
"- noun
+ người truyền bá Phúc âm
",evangelist
"- noun
",evaluation
"- verb
+ đánh giá
+ định giá
",evaluate
"- adjective
+ toàn bộ
",entire
"- adverb
+ một cách trọn vẹn
",entirely
"- verb
+ tránh khỏi
",evade
"- verb
+ được phép
+ đặt tiêu đề
",entitle
"- noun
",enticement
"- adjective
+ lôi cuốn
",enticing
"- noun
+ tính trọn vẹn
",entirety
"- noun
",evacuation
"- verb
+ lôi kéo
",entice
"- adverb
",enthusiastically
"- adjective
+ tràn đầy nhiệt tình
",enthusiastic
"- noun
",enthronement
"- verb
+ lên ngôi
",enthrone
"- verb
+ tán dương
+ quan tâm
",enthuse
"- noun
+ người nhiệt tình
",enthusiast
"- noun
+ sự nhiệt tình
",enthusiasm
"- noun
",enthralment
"- adjective
",enthralling
"- noun
+ người làm trò tiêu khiển
",entertainer
"- noun
+ cuộc giải trí
+ buổi biểu diễn
+ sự thích thú
",entertainment
"- adjective
+ mạnh dạn
",enterprising
"- adjective
+ thú vị
",entertaining
"- verb
+ mê hoặc
",enthral
"- verb
+ ấp ủ
+ giải trí
+ tiếp đãi
",entertain
"- noun
+ đặc khu kinh tế
",enterprise zone
"- noun
+ văn hóa doanh nghiệp
",enterprise culture
"- noun
+ sự nghiệp
+ tính táo bạo
",enterprise
"- phrasal verb
+ bắt đầu cái gì
",enter on/upon
"- phrasal verb
+ tham gia vào
+ có khả năng nhận thức
+ bắt đầu bàn về
+ nằm trong
",enter into
"- verb
+ đòi hỏi
",entail
"- verb
+ đi vào
+ đi vào
+ gia nhập
+ đăng ký
+ bắt đầu
",enter
"- verb
+ vướng vào
",entangle
"- adjective
+ kế tiếp theo
",ensuing
"- verb
+ bảo đảm
",ensure
"- noun
",entanglement
"- verb
+ bẫy
",ensnare
"- verb
+ tiếp theo
",ensue
"- noun
+ bộ quần áo
+ khúc đồng diễn
+ đoàn nhạc công
+ toàn bộ
",ensemble
"- noun
",enrolment
"- verb
+ kết nạp
",enrol
"- verb
+ làm phong phú hơn
",enrich
"- verb
+ thu mình
",ensconce
"- verb
+ làm điên tiết
",enrage
"- verb
+ làm mê mẩn
",enrapture
"- adjective
+ đủ
- pronoun
+ đủ
- adverb
+ đủ
+ một cách công bằng; điều lạ là
",enough
"- noun
+ sự buồn chán
",ennui
"- noun
",enormousness
"- adjective
+ khổng lồ
",enormous
"- noun
+ sự thù hằn
",enmity
"- adverb
+ ngay bên cạnh
",next door
"- verb
+ làm sôi nổi
",enliven
"- verb
+ nhập ngũ
+ giành được sự ủng hộ
+ có được sự ủng hộ của ai
",enlist
"- adjective
+ tiếp sau
- adverb
+ sau đó
- pronoun
+ kế tiếp
",next
"- noun
+ con sa giông
",newt
"- adjective
+ nhiều tin
",newsy
"- noun
+ phát thanh viên
",newsreader
"- noun
+ sự khổng lồ
",enormity
"- noun
+ quầy bán báo
",newsstand
"- noun
+ báo
",newspaper
"- noun
+ bản tin
",newsletter
"- noun
+ nhóm thảo luận
",newsgroup
"- noun
+ người bán báo
",newsagent
"- noun
+ bản tin phát sóng
",newscast
"- noun
+ phát thanh viên
",newscaster
"- noun singular
+ tin tức
",news
"- adjective
+ không diễn cảm
",expressionless
"- noun
+ thông tấn xã
",news agency
"- noun
+ vẻ mặt
+ thành ngữ
+ sự diễn đạt
+ sự biểu hiện
",expression
"- verb
+ biểu lộ
+ diễn đạt
+ bày tỏ
+ phát chuyển nhanh
- adjective
+ nhanh; tốc hành
+ rõ ràng
- adverb
+ tốc hành; nhanh
- noun
+ tàu tốc hành
+ chuyển phát nhanh
",express
"- verb
+ trình bày chi tiết
",expound
"- noun
",exportation
"- verb
+ phơi bày
+ vạch trần
+ phơi sáng
- noun
+ sự vạch trần
",expose
"- noun
+ sự trình bày
+ cuộc triển lãm
",exposition
"- noun
+ nhà xuất khẩu
",exporter
"- noun
+ người biểu diễn
+ người trình bày
",exponent
"- adjective
+ không được che phủ
+ không được bảo vệ
",exposed
"- noun
+ hành động phơi bày
+ cuộn phim ảnh
",exposure
"- noun
+ người mới đến
",newcomer
"- adjective
+ kỳ quặc
",newfangled
"- noun
+ tiếng nổ
+ sự nổ
+ sự bùng nổ
+ sự phát triển ồ ạt
",explosion
"- adverb
+ mới gần đây
",newly
"- noun
+ người mới sử dụng máy tính
",newbie
"- noun
+ người thám hiểm
",explorer
"- noun
+ Đêm giao thừa
",New Year’s Eve
"- adjective
+ dễ nổ
- noun
+ chất nổ
",explosive
"- noun
+ Mồng 1 tết
",New Year’s Day
"- noun
+ Năm mới
",New Year
"- adverb
+ không bao giờ
",never
"- adjective
+ mới
+ chưa từng có
+ mới
+ mới đến
- adverb
+ mới
",new
"- adverb
+ tuy nhiên
",nevertheless
"- adverb
+ không bao giờ nữa
",nevermore
"- verb
+ trung hòa
",neutralize
"- noun
+ nơ trôn
",neutron
"- noun
+ tính trung lập
",neutrality
"- adjective
+ thuộc giống trung
+ vô tính
",neuter
"- noun
+ thần kinh học
",neurology
"- adjective
+ trung lập
+ trung tính
+ trung tính
- noun
+ trung lập
+ số không của hộp số
",neutral
"- adjective
+ thuộc thần kinh
",neural
"- noun
",neurologist
"- adjective
",neurological
"- noun
+ mạng lưới
+ mạng lưới truyền thanh
+ mạng
",network
"- noun
+ lưới
",netting
"- noun
+ cây tầm ma
",nettle
"- noun
+ chim non
",nestling
"- noun
+ nghi thức mạng
",netiquette
"- noun
+ bóng lưới
",netball
"- noun
+ lưới
- verb
+ bọc lưới
- adjective
+ lãi ròng
+ tịnh
",net
"- verb
+ nép mình
+ náu mình
",nestle
"- suffix
+ hậu tố chuyển tính từ thành danh từ
",-ness
"- noun
+ tiền tiết kiệm
",nest-egg
"- noun
+ tổ chim
- verb
+ làm tổ
",nest
"- adjective
+ mang tính thám hiểm
",exploratory
"- adjective
+ dễ bị kích động
",nervy
"- noun
",exploration
"- noun
",nervousness
"- noun
",exploitation
"- verb
+ thăm dò; thám hiểm
+ khảo sát tỉ mỉ
",explore
"- verb
+ nổ
+ bùng nổ
+ làm tiêu tan
",explode
"- adverb
",explicitly
"- noun
+ lời chửi rủa
",expletive
"- noun
+ sự giảng giải
+ lời giải thích
",explanation
"- adjective
+ có thể giải thích được
",explicable
"- adjective
+ mang tính giải thích
",explanatory
"- adjective
+ rõ ràng
",explicit
"- noun
",explicitness
"- phrasal verb
+ thanh minh
",explain away
"- adverb
",expertly
"- verb
+ giải thích
+ giải thích
",explain
"- noun
",expiration
"- noun
+ sự hết hạn
",expiry
"- verb
+ hết hạn
+ hết hiệu lực
+ chết
",expire
"- noun
",expertness
"- noun
+ giám định
",expertise
"- noun
+ sự thí nghiệm; sự thử nghiệm
",experimentation
"- adjective
+ về mặt chuyên môn
- noun
+ chuyên gia
",expert
"- adverb
",experimentally
"- adjective
+ thuộc thí nghiệm
",experimental
"- noun
+ cuộc thử nghiệm; cuộc thí nghiệm
- verb
+ làm thí nghiệm
",experiment
"- noun plural
+ công tác phí
",expenses
"- adjective
+ đắt tiền
",expensive
"- noun
+ sự tiêu dùng
",expenditure
"- noun
+ phí tổn
+ nguyên nhân của sự tiêu tiền
",expense
"- verb
+ tiêu dùng
",expend
"- adjective
+ có kinh nghiệm
",experienced
"- noun
+ kinh nghiệm
+ sự từng trải
- verb
+ trải qua
",experience
"- verb
+ đuổi; trục xuất
+ tống ra
",expel
"- adjective
+ khẩn trương
",expeditious
"- adverb
",expeditiously
"- verb
+ xúc tiến
",expedite
"- adjective
+ viễn chinh
",expeditionary
"- adjective
+ có lợi
",expedient
"- noun
+ cuộc thám hiểm
+ đoàn thám hiểm
",expedition
"- noun
",expediency
"- noun
",expedience
"- adverb
",nervously
"- noun
+ hệ thống thần kinh
",nervous system
"- noun plural
+ trạng thái thần kinh bị kích động
",nerves
"- noun
",nerviness
"- adjective
+ gây ra lo lắng
",nerve-racking
"- noun
+ sự suy nhược thần kinh
",nervous breakdown
"- noun
+ dây thần kinh
+ sự can đảm
+ táo tợn
- verb
+ truyền can đảm
",nerve
"- adjective
+ về dây thần kinh
+ sợ hãi
",nervous
"- noun
+ sao Hải vương
",Neptune
"- noun
+ cháu trai
",nephew
"- adverb
+ một cách gọn gàng
",neatly
"- noun
",nearness
"- adjective
+ bên trái
",nearside
"- noun
+ nê-ông
",neon
"- prefix
+ tiếp đầu ngữ “tân” , “ở dạng mới hơn”
",neo-
"- adjective
+ gọn gàng
+ gọn
+ nguyên chất
",neat
"- adverb
+ gần như
",nearly
"- adverb
+ ở vị trí gần
",nearby
"- noun
+ hải quân
+ xanh nước biển
",navy
"- written abbreviation
+ đông bắc
",NE
"- adjective
+ cận thị
",near-sighted
"- adjective
+ gần
+ họ hàng gần
- adverb
+ gần
+ gần
- preposition
+ gần
- verb
+ đến gần
",near
"- abbreviation
+ hạ sĩ quan
",NCO
"- noun
+ ngành hàng hải
",navigation
"- noun
+ nhà hàng hải
",navigator
"- verb
+ làm hoa tiêu
+ dẫn đường
",navigate
"- noun
+ rốn
",navel
"- adjective
+ quân phục hải quân
",naval
"- adjective
+ hàng hải
",nautical
"- verb
+ làm cho ai buồn nôn
",nauseate
"- noun
+ gian giữa ở giáo đường
",nave
"- adjective
+ có thể lái đi được
",navigable
"- adjective
+ lạnh
+ nhanh nhẹn
",nippy
"- noun
+ sự buồn nôn
",nausea
"- noun
+ núm vú
+ đầu vú cao su
",nipple
"- noun
+ dừa nước
",nipah
"- noun
+ 90 tuổi
- adjective
+ 90 tuổi
",ninety-year-old
"- verb
+ cắn
+ cắt đứt
+ lạnh buốt
+ chạy vụt qua
+ làm thui chột
- noun
+ cái cấu; cắn
+ sự tê cóng
+ một ly nhỏ
",nip
"- noun
+ một phần chín mươi
+ số 90
",ninetieth
"- noun plural
+ những năm 90
+ số từ 90 đến 99
+ thập niên 90
",nineties
"- number
+ chín mươi
+ ở độ tuổi 90
- prefix
+ có 90
",ninety
"- noun
+ một phần chín
+ thứ chín
",ninth
"- adjective
+ mệt lử
",exhausting
"- noun
+ mười chín tuổi
- adjective
+ mười chín tuối
",nineteen-year-old
"- noun
+ một phần mười chín
+ số mười chín
",nineteenth
"- adjective
+ kiệt sức
",exhausted
"- verb
+ thốt ra
",exhale
"- noun
+ dải rộng
",expanse
"- adjective
+ rộng rãi
+ nhiều thông tin
+ cởi mở
",expansive
"- noun
+ sự mở rộng
",expansion
"- verb
+ làm kiệt sức
+ dốc hết
+ bàn hết mọi mặt
- noun
+ ống xả
",exhaust
"- verb
+ nở ra; mở rộng
",expand
"- adjective
+ ngoạn mục
+ ngoại lai
",exotic
"- noun
+ bên ngoài khí quyển
",exosphere
"- noun
+ xua đuổi tà ma
",exorcism
"- verb
+ xua đuổi
",exorcize
"- adjective
+ giá cắt cổ
",exorbitant
"- adverb
",exorbitantly
"- noun
+ thầy phù thuỷ
",exorcist
"- noun
",exorbitance
"- noun
- adjective
",existentialist
"- noun
+ cuộc di cư
",exodus
"- noun
+ thuyết hiện sinh
",existentialism
"- verb
+ tiếp xúc cử tri
",exonerate
"- noun
+ thăm dò sau bỏ phiếu
",exit poll
"- adjective
+ hiện tại
",existing
"- noun
",exoneration
"- noun
+ sự tồn tại
+ cách sống
",existence
"- verb
+ tồn tại
+ tiếp tục sống
",exist
"- noun
+ người lưu vong
+ cảnh sống lưu vong
- verb
+ lưu đày
",exile
"- noun
",exhumation
"- verb
+ khai quật
",exhume
"- noun
",exhortation
"- verb
+ hô hào
",exhort
"- adjective
",exhilarating
"- noun
",exhilaration
"- noun
+ lối ra
+ sự đi vào của diễn viên
+ sự đi khỏi
- verb
+ đi vào
",exit
"- verb
+ làm vui vẻ
",exhilarate
"- noun
+ người trưng bày
",exhibitor
"- adjective
+ rất thấu đáo
",exhaustive
"- verb
+ triển lãm
+ biểu lộ
- noun
+ vật triển lãm
+ tang vật
",exhibit
"- noun
+ sự kiệt sức
",exhaustion
"- noun
+ cuộc triển lãm
+ sự biểu lộ
",exhibition
"- adjective
+ thuận hòa với xóm giềng
",neighbourly
"- adjective
+ không … cũng không
",neither
"- noun
+ đội dân phòng
",neighbourhood watch
"- adjective
+ láng giềng
",neighbouring
"- noun
+ người da đen
",Negro
"- verb
+ hí
- noun
+ tiếng hí
",neigh
"- noun
+ người láng giềng
",neighbour
"- noun
",negotiator
"- adverb
",negligently
"- verb
+ đàm phán
+ thương lượng
+ vượt qua khó khăn
",negotiate
"- noun
",negotiation
"- noun
+ sự cẩu thả
",negligence
"- adjective
",negligent
"- verb
+ sao lãng
+ bỏ mặc
- noun
+ thờ ơ
",neglect
"- adjective
+ nghèo túng
",needy
"- noun
+ vùng lân cận
+ xung quanh
",neighbourhood
"- adjective
+ phủ nhận
+ tiêu cực
+ âm
+ điện (âm)
- noun
+ lời từ chối
+ âm bản
",negative
"- noun
+ công việc may vá thêu thùa
",needlework
"- adjective
+ không cần
",needless
"- adverb
",negatively
"- adverb
",needlessly
"- noun
+ kim khâu
+ kim đan
+ cái kim la bàn
+ lá kim
",needle
"- verb
+ cần
+ buộc phải
- noun
+ nhu cầu
+ tình cảnh túng thiếu
+ cần thiết
",need
"- adjective
+ tên thời con gái
",née
"- noun
+ ca vát
",necktie
"- noun
+ mật hoa
+ rượu ngon
",nectar
"- noun
+ viền cổ
",neckline
"- noun
+ chuỗi hạt
",necklace
"- noun
+ quả xuân đào
",nectarine
"- noun
+ cổ
+ cổ áo
+ phần cổ
- verb
+ ôm ấp
",neck
"- verb
+ cần phải có
",necessitate
"- noun
+ sự cần thiết; phần tất yếu
",necessity
"- noun
",naughtiness
"- noun
",neatness
"- adjective
+ nghịch ngợm
",naughty
"- adjective
+ cần thiết
",necessary
"- adverb
",naughtily
"- noun
+ không
",naught
"- adverb
",necessarily
"- suffix
+ có tính chất
",-natured
"- noun
+ khu bảo tồn thiên nhiên
",nature reserve
"- noun
+ thiên nhiên
+ bản tính
+ tính chất
+ loại; thứ
",nature
"- adverb
+ tất nhiên
+ tự nhiên
+ một cách tự nhiên
",naturally
"- noun
+ thiên tai
",natural disaster
"- noun plural
+ nguồn tài nguyên
",natural resources
"- noun
+ vạn vật học
",natural history
"- noun
+ khí tự nhiên
",natural gas
"- noun
+ nhà tự nhiên học
",naturalist
"- verb
+ nói ba hoa
",natter
"- abbreviation
+ Tổ chức Hiệp ước Bắc Đại Tây Dương
",NATO
"- adjective
+ tự nhiên
+ năng khiếu
+ tự nhiên
+ tự nhiên
+ nốt nhạc thường
- noun
+ người có khiếu tự nhiên
+ nốt thường
",natural
"- noun
+ người nói tiếng mẹ đẻ
",native speaker
"- adjective
+ toàn quốc
",nationwide
"- noun
+ bản xứ
",Native American
"- noun
+ người bản xứ
",native language
"- adjective
+ quê hương
+ thuộc địa phương
+ gốc gác
+ bẩm sinh
- noun
+ người sống ở
+ có nguồn gốc
",native
"- adverb
",nationally
"- verb
+ quốc hữu hóa
",nationalize
"- noun
",nationalist
"- number
+ số mười chín
+ ở tuổi 19
- prefix
+ có 19
",nineteen
"- noun singular
+ trò chơi ky chín con
",ninepins
"- adjective
",nationalistic
"- noun
",nationalization
"- noun
+ chủ nghĩa dân tộc
+ phong trào dân tộc chủ nghĩa
",nationalism
"- adjective
+ lanh lẹ
",nimble
"- noun
+ chín tuổi
- adjective
+ chín tuổi
",nine-year-old
"- adverb
",nimbly
"- noun
+ không
",nil
